ethnicity,HH7,CL13,CL2,FCD2H,FCD2E,FCD2D,FCD2A,WB4,WB6A,VT22A,VT22B,VT20,VT21,VT1,VT22X,MA2,MA3,MSTATUS,AF10,LS1,LS3,LS4,CSURV,HC5,HC4,WS7,WS1,WS11,WS14,child_depression
Other ethnicity,North,21.0,True,YES,YES,YES,YES,49.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY UNSAFE,NO,NO,57.0,YES,Currently married/in union,SOME DIFFICULTY,SOMEWHAT UNHAPPY,WORSENED,BETTER,8.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Tumbuka,North,,False,NO,YES,YES,YES,28.0,LOWER SECONDARY,NO,NO,SAFE,VERY SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,WORSENED,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,0.0
Other ethnicity,North,4.0,True,,,,,44.0,PRIMARY,YES,NO,UNSAFE,SAFE,NO,NO,48.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,,MORE OR LESS THE SAME,9.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,30.0,True,NO,NO,YES,YES,30.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,41.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,2.0,True,NO,NO,YES,NO,40.0,NoSchool,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,58.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,22.0,False,,,,,37.0,PRIMARY,NO,NO,UNSAFE,UNSAFE,NO,NO,45.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: VENTILATED IMPROVED PIT LATRINE,IN OWN YARD / PLOT,0.0
Other ethnicity,North,4.0,True,NO,YES,NO,YES,34.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,35.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,0.0,False,NO,YES,YES,YES,25.0,PRIMARY,YES,YES,UNSAFE,VERY SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,MORE OR LESS THE SAME,WORSE,1.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,,False,NO,NO,NO,NO,22.0,PRIMARY,NO,NO,UNSAFE,UNSAFE,NO,NO,40.0,YES,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,FLUSH / POUR FLUSH: FLUSH TO PIT LATRINE,IN OWN YARD / PLOT,1.0
Other ethnicity,North,5.0,False,NO,NO,YES,YES,48.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,YES,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY UNHAPPY,WORSENED,BETTER,8.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
