original_variable,used_variable,transformation
CB3,CB3,raw
CB4,CB4,raw_non_numeric_or_empty
CB5A,CB5A,raw_non_numeric_or_empty
CB5B,CB5B,raw
CB7,CB7,raw_non_numeric_or_empty
CB11,CB11,raw_non_numeric_or_empty
HH6,HH6,raw_non_numeric_or_empty
HH7,HH7,raw_non_numeric_or_empty
HL4,HL4,raw_non_numeric_or_empty
ethnicity,ethnicity,raw_non_numeric_or_empty
wscore,wscore_log1p,log1p
CL2,CL2,raw
CL3,CL3,raw
CL12,CL12,raw
CL13,CL13,raw
FCD2A,FCD2A,raw_non_numeric_or_empty
FCD2B,FCD2B,raw_non_numeric_or_empty
FCD2C,FCD2C,raw_non_numeric_or_empty
FCD2D,FCD2D,raw_non_numeric_or_empty
FCD2E,FCD2E,raw_non_numeric_or_empty
FCD2F,FCD2F,raw_non_numeric_or_empty
FCD2G,FCD2G,raw_non_numeric_or_empty
FCD2H,FCD2H,raw_non_numeric_or_empty
FCD2I,FCD2I,raw_non_numeric_or_empty
FCD2J,FCD2J,raw_non_numeric_or_empty
FCD2K,FCD2K,raw_non_numeric_or_empty
FCD5,FCD5,raw_non_numeric_or_empty
WB4,WB4,raw
WB5,WB5,raw_non_numeric_or_empty
WB6A,WB6A,raw_non_numeric_or_empty
WB6B,WB6B,raw
WB14,WB14,raw_non_numeric_or_empty
DV1A,DV1A,raw_non_numeric_or_empty
DV1B,DV1B,raw_non_numeric_or_empty
DV1C,DV1C,raw_non_numeric_or_empty
DV1D,DV1D,raw_non_numeric_or_empty
DV1E,DV1E,raw_non_numeric_or_empty
VT1,VT1,raw_non_numeric_or_empty
VT9,VT9,raw_non_numeric_or_empty
VT20,VT20,raw_non_numeric_or_empty
VT21,VT21,raw_non_numeric_or_empty
VT22A,VT22A,raw_non_numeric_or_empty
VT22B,VT22B,raw_non_numeric_or_empty
VT22C,VT22C,raw_non_numeric_or_empty
VT22D,VT22D,raw_non_numeric_or_empty
VT22E,VT22E,raw_non_numeric_or_empty
VT22F,VT22F,raw_non_numeric_or_empty
VT22X,VT22X,raw_non_numeric_or_empty
MSTATUS,MSTATUS,raw_non_numeric_or_empty
MA2,MA2,raw
MA3,MA3,raw_non_numeric_or_empty
disability,disability,raw_non_numeric_or_empty
AF10,AF10,raw_non_numeric_or_empty
AF11,AF11,raw_non_numeric_or_empty
AF12,AF12,raw_non_numeric_or_empty
TA1,TA1,raw_non_numeric_or_empty
TA14,TA14,raw_non_numeric_or_empty
LS1,LS1,raw_non_numeric_or_empty
LS2,LS2,raw
LS3,LS3,raw_non_numeric_or_empty
LS4,LS4,raw_non_numeric_or_empty
CSURV,CSURV,raw
CDEAD,CDEAD_log1p,log1p
HC4,HC4,raw_non_numeric_or_empty
HC5,HC5,raw_non_numeric_or_empty
HC8,HC8,raw_non_numeric_or_empty
HC11,HC11,raw_non_numeric_or_empty
HC12,HC12,raw_non_numeric_or_empty
HC13,HC13,raw_non_numeric_or_empty
HC14,HC14,raw_non_numeric_or_empty
HC15,HC15,raw_non_numeric_or_empty
HC17,HC17,raw_non_numeric_or_empty
HC19,HC19,raw_non_numeric_or_empty
TN1,TN1,raw_non_numeric_or_empty
WS1,WS1,raw_non_numeric_or_empty
WS3,WS3,raw_non_numeric_or_empty
WS4,WS4,raw
WS7,WS7,raw_non_numeric_or_empty
WS11,WS11,raw_non_numeric_or_empty
WS14,WS14,raw_non_numeric_or_empty
WS15,WS15,raw_non_numeric_or_empty
HW5,HW5,raw_non_numeric_or_empty
